Address 1,City,Postal Code,Largest Property Use Type - Gross Floor Area (ft²),Natural Gas Use (therms),Electricity Use - Grid Purchase (kWh),Green Power - Offsite (kWh),Net Emissions (Metric Tons CO2e),Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Latitude,Longitude
36-16 Astoria Blvd.,Long Island City,11103,25000,10625.27867,176982.1,0,107.5,0,910.8,40.769272,-73.913633
70 West 93rd Street,New York,10025,260780,8273.198321,1229531.2,0,398.6,0,12826.8,40.790503,-73.96792
28-50 West 97th Street,New York,10025,324378,179358.0772,1283733.2,0,1323,0,16038,40.792758,-73.965171
310 Greenwich Street / 40 Harrison Street,New York,10013,1039841,992843.9804,7797471.9,0,7582.1,0,68151.7,,
87 Hamilton Place,New York,10031,72662,70244.18194,382355,0,483.4,0,7450.3,40.823008,-73.95067
3458-68 Broadway,New York,10031,99110,75330.98064,501567,0,544.8,0,239,40.823978,-73.95223
3513-15 Broadway,New York,10031,89199,72101.40527,526459.1,0,534.8,0,Not Available,40.825608,-73.951062
1061 St. Nicholas Avenue,New York,10032,52428,53504.82864,251232.7,0,356.7,0,4819.8,40.837333,-73.94006
65 Ft. Washington Avenue,New York,10032,70384,56610.50318,273748.8,0,379.6,0,7408.1,40.837275,-73.94423
105 Haven Avenue,New York,10032,58574,42853.85829,227141.4,0,293.1,0,6979.4,40.844795,-73.942381
1301-13 St. Nicholas Avenue,New York,10033,65136,76895.28247,628963.5,0,589.9,0,Not Available,40.845538,-73.936507
4241-47 Broadway,New York,10033,65115,71976.52479,577043.8,0,548.8,0,Not Available,40.849641,-73.936311
4231-39 Broadway,New York,10033,62667,29825.3031,596483.2,0,330.5,0,Not Available,40.849268,-73.936717
117-23 Dyckman Street,New York,10040,70500,48907.98523,539917.8,0,415.5,0,8017.6,40.862186,-73.925107
118-28 Vermilyea Avenue,New York,10034,58198,59785.49644,548929.7,0,475.9,0,7441.3,40.866433,-73.921526
106-16 Vermilyea Avenue,New York,10034,58198,Not Available,Not Available,Not Available,0,Not Available,6321,40.866276,-73.921942
701 West 177th Street,New York,10033,75000,91172.32504,913341.9,0,747.7,0,Not Available,40.847609,-73.938258
1795 Riverside Drive,New York,10034,85580,2475.370994,421137,0,518.5,0,6642.9,40.866381,-73.930388
236 East 13th Street,New York,10003,56083,38358.64213,257499,0,278,0,Not Available,40.732211,-73.986776
44-50 West 28th Street,New York,10001,141830,43181.83111,1077277.7,0,540.1,0,721.4,40.745556,-73.989386
223 2nd Avenue,NY,10003,47362,32455.52189,612436.1,0,453.5,0,6921.7,40.732129,-73.98512
119-21 West 23rd Street,New York,10011,98800,47.21935578,738840.8,0,555.7,0,2451.4,40.743248,-73.993591
