Address,City,Postal Code,Fine Amount
36-16 Astoria Blvd.,Long Island City,11103,16415
70 West 93rd Street,New York,10025,364926.22
28-50 West 97th Street,New York,10025,232235.802
87 Hamilton Place,New York,10031,1894.3580000000077
3458-68 Broadway,New York,10031,33283.59
3513-15 Broadway,New York,10031,18034.591000000015
65 Ft. Washington Avenue,New York,10032,25591.85599999999
105 Haven Avenue,New York,10032,27409.566
4231-39 Broadway,New York,10033,24790.603000000003
117-23 Dyckman Street,New York,10040,16180.5
1795 Riverside Drive,New York,10034,15856.21999999999
236 East 13th Street,New York,10003,26950.146999999997
44-50 West 28th Street,New York,10001,111823.66999999998
119-21 West 23rd Street,New York,10011,29801.59999999998
1655 Undercliff Avenue,Bronx,10453,7045.049999999976
1889 Sedgwick Avenue,Bronx,10453,101510.025
950 Underhill Avenue,Bronx,10473,194955.86299999998
2010-42 Bruckner Boulevard,Bronx,10473,111691.81399999997
801-11 Neill Avenue,Bronx,10462,98275.6
522 Ocean Avenue,Brooklyn,11226,10380.175999999992
32-02 Skillman Avenue,Queens,11101,214333
1020-26 Amsterdam Avenue,New York,10025,62871.795
666-68 West End Avenue,New York,10025,77319.34000000003
884-90 2nd Avenue,New York,10022,22187.11699999993
320-22 East 52nd Street,New York,10022,74204.711
752 West End Avenue,New York,10025,97016.40199999996
185 St. Marks Place,Staten Island,10301,92222.28399999996
161 Sixth Avenue,New York,10013,216959.4
252 West 76th Street,New York,10023,21413.200000000008
220 Fifth Avenue,New York,10001,29045.84
27-29 East 124th Street,New York,10035,32717.105
308 Eckford Street,Brooklyn,11222,4961.2829999999985
211 Mcguinness Boulevard,Brooklyn,11222,166186.80000000002
3430 Broadway,New York,10031,15416.565999999997
118-28 Vermilyea Avenue,New York,10034,83019.164
70 West 93rd Street,New York,10025,191932.22
142-02 84th Drive,Queens,11370,13155.315999999997
142-148 Laurel Hill Terrace,New York,10040,28337.180999999982
196-204 7th Avenue,New York,10011,21281.209999999992
224-10 Jamaica Avenue,Queens,11428,2939.691999999998
27-10 30th Avenue,Queens,11102,13126.974999999997
33-24 Parsons Boulevard,Queens,11354,62266.98600000001
342 East 67th Street,New York,10021,44482.975
350 West 55th Street,New York,10019,48400.86699999999
37-07 147th Street,Queens,11354,27555.156999999996
371 2nd Avenue,New York,10016,35609.16000000002
5009 Broadway,New York,10034,21440.669999999984
542 East 79th Street,New York,10021,58998.056
555 East 78th Street,New York,10002,95588.49799999998
585 West End Avenue,New York,10024,143544.21700000003
65 Hillside Avenue,New York,10040,24534.060000000005
80 Bennett Avenue,New York,10033,27339.149
910 West End Avenue,New York,10025,84935.364
245 East 19th Street,New York,10003,123865.24499999998
36-25 Parsons Boulevard,Queens,11354,35044.35
80 Seaman Avenue,New York,10034,22482.52000000001
85-02 139th Street,Queens,11435,14896.78000000001
86-11 Whitney Avenue,Queens,11373,42569.857
1472 York Avenue,New York,10021,53714.033999999985
355 East 72nd Street,New York,10021,30283.26299999997
147-11 34th Avenue,Queens,11354,28653.15299999999
200 West 15th Street,New York,10011,54238.04100000001
49-15 Skillman Avenue,Queens,11377,9342.479999999989
47-09 Skillman Avenue,Queens,11104,27021.903999999995
118-80 Metropolitan Avenue,Queens,11415,51087.09799999999
134 West 58th Street,New York,10019,27269
504 East 79th Street,New York,10075,69443.08799999999
532 East 79th Street,New York,10075,64862.96799999999
524 East 79th Street,New York,10075,62620.075999999994
516 East 79th Street,New York,10075,62486.075999999994
511 East 78th Street,New York,10075,51444.475999999995
519 East 78th Street,New York,10075,63558.075999999994
503 East 78th Street,New York,10075,68024.966
527 East 78th Street,New York,10075,61440.876000000004
535 East 78th Street,New York,10075,63477.676
555 East 78th Street,New York,10075,88575.74200000011
1603 Hobart Avenue,Bronx,10461,11363.199999999993
83-45 Broadway,Elmhurst,11373,18168.390000000007
2675 Henry Hudson Pkwy.,Bronx,10463,76267.038
"1380 Riverside Drive, 1384 Riverside Drive",New York,10033,35137.145
102 N END AVE,NEW YORK,10281,501641.3816
850 BROADWAY,NEW YORK,10003,144953.9975
2474 FOREST AVE,STATEN ISLAND,10303,36099.6
3530 38TH ST,ASTORIA,11101,39583.6
106 COURT ST,BROOKLYN,11201,84196.2267
555 Nereid Avenue,Bronx,10470,49452.02999999999
1325 Jerome Avenue,Bronx,10452,283423.39999999997
223 East 117th Street,New York,10035,2529.25
510 Gates Avenue,Brooklyn,11216,46487.347
1420 Crotona Park East,Bronx,10460,30419.205999999995
89 Porter Avenue,Brooklyn,11237,4100.400000000003
3100 Webster Avenue,Bronx,10467,119387.3
4217 1 Avenue,Brooklyn,11232,98560.015
114-120 West 30th St,Manhattan,10001,14075.762
275 KOSCIUSKO ST,Brooklyn,11221,12677.270999999997
2065 Walton Ave,Bronx,10453,24440.996999999996
317 West 87th Street,New York,10024,1856.7039999999993
"1474 Third Avenue, 1474-1478 Third Avenue",New York,10028,25845.116
145 East 76th Street,New York,10021,27116.977
"451 Broome Street, New York",Manhattan,10013,13084.630999999992
935 Kelly Street,Bronx,10459,19852.1
94-30 59 AVENUE,Queens,11373,516168.80399999995
94-31 59 Avenue,queens,11373,1243386.804
94-31 60 Ave,Queens,11373,1234650.0039999997
94-30 60 Ave,Queens,11373,1243279.6039999998
79 West 12th Street,New York,10011,56789.33399999999
201 West 85th St.,New York,10024,50619.23699999998
225 Eastern Parkway,Brooklyn,11238,52989.965
376 President Street,Brooklyn,11231,68567.599
360 Court Street,Brooklyn,11231,25262.685000000005
345 Lenox Road,Brooklyn,11226,53282.687999999995
27 Prospect Park West,Brooklyn,11215,48153.235
94-25 57th Ave,Queens,11373,284736.60000000003
91-60 193 Street,Hollis,11423,38367.61699999999
527 Lincoln Place,Brooklyn,11238,5075.383999999996
300 West End Avenue,New York,10023,114395.8
414 West 54th Street,New York,10019,14244.869999999994
720 St. Mary's St.,Bronx,10454,32562
90-36 149 Street,Jamaica,11435,49856.44199999998
505 Lincoln Place,Brooklyn,11238,34948.004
89-21 153rd Street,Queens,11432,21901.764000000003
127-92 Willets Point Boulevard,Corona,11368,24451.984999999993
129-02 Northern Blvd,Corona,11368,92818.785
493 Lincoln Place,Brooklyn,11238,37632.56
88-15 144th Street,Queens,11435,20060.871999999996
285 Schenectady Ave,Brooklyn,11213,54859.6
75 Ocean Ave,Brooklyn,11225,58102.4
201 WEST 75 STREET,New York,10023,5092.870999999995
136-18 39th Ave,Flushing,11354,33610.55
213 West 23rd St,NEW YORK,10011,34720.740000000005
2408-12 Amsterdam Ave,New York,10033,33156.96
493 Fulton St,Brooklyn,11201,31242.904
85-28 118th St,Jamaica,11415,58769.318
285 W Broadway,New Yok,10013,8240.664999999994
85-25 61st Rd,Queens,11374,29362.415
92-70 220th St,Queens,11428,79805.978
1321 Oak Point Ave,Bronx,10474,40243.282
131 Beach 119th St,Queens,11694,55914.18
545 Prospect Pl,Brooklyn,11238,231725.66400000002
601 Wortman Ave,Brooklyn,11208,45119.475000000006
14-47 143rd St,Queens,11357,61940.83
301-303 West 125th Street,New York,10027,18894
814 AMSTERDAM AVENUE,NEW YORK,10025,83191.82299999999
308 East 38 Street,New York,10016,70201.394
155 WEST 21 STREET,NEW YORK,10011,132138.606
552 Prospect Place,Brooklyn,11238,52625.083
1725-1739 Stillwell Avenue,Brooklyn,11223,49604.455
89-11 153 Street,Jamaica,11432,49094.92
97 Boerum Place,Brooklyn,11201,30380.480000000003
2211-25 Church Ave,Brooklyn,11226,12033.2
88-15 168 Street,Jamaica,11432,50380.44900000001
88-09 148 Street,Jamaica,11435,18947.868000000006
88-06 Parsons Boulevard,Jamaica,11432,15577.5
88-05 Merrick Boulevard,Jamaica,11432,37875.234
1150 Metropolitan Ave,Brooklyn,11237,149812
88-25 148 Street,Jamaica,11435,45687.3
88-18 150 Street,Queens,11435,7620.311999999999
22-10 79th St,Jackson Hgts,11370,72342.178
